id	title	context	triplets
2218	Berlin-based digital identity startup Passbase secures €3.3 million for its privacy-conscious verification solution	With advances in public-key cryptography, biometric authentication and machine intelligence, the startup Passbase aims to improve privacy and security online by building a full-stack identity solution. Founded in 2018, and just six months after raising its pre-seed round of €530k, the Berlin-based startup has raised another €3.3 million. The round was led by Cowboy Ventures & Eniac Ventures, with participation from Seedcamp and other European investors. Passbase’s technology helps businesses confirm the identity of their users with a quick video selfie and identity document scan. Passbase claims this software can be integrated within a few minutes using their self-service developer platform, in sharp contrast to the long sales cycles and complex integrations of legacy providers. Do not let the simplicity fool you. The seemingly simple product is deeply rooted in several serious security technologies.	<triplet> Passbase <sub> €530k <obj> RECEIVES  <triplet> theBerlin-basedstartup <sub> €3.3 million <obj> RECEIVES  <triplet> other European investors <sub> €3.3 million <obj> INVESTS  <triplet> Seedcamp <sub> €3.3 million <obj> INVESTS  <triplet> Eniac Ventures <sub> €3.3 million <obj> INVESTS  <triplet> Cowboy Ventures <sub> €3.3 million <obj> INVESTS 
228	Berlin-based employee finance app, Circula, scores €12 million and plans international expansion	SaaS fintech startup Circula has today announced the close of a €12 million funding round for its employee finance app that is bringing more time and money to employees. The funding includes participation from ALSTIN Capital, Peak, and Storm Ventures. Existing investors Capnamic, Main Incubator and WENVEST Capital are also participating again. The Berlin-based startup offers companies a comprehensive employee finance app that can be used by employees to digitally process expenses (e.g allowance and travel costs), and use employee benefits in a tax-compliant manner. It also provides employees with corporate credit cards with real credit lines, cashback and real-time statements, seamlessly integrated with Circula workflows. Founded in 2017, Circula offers mid-sized and large companies alike a consolidated platform for managing expenses, credit card payments and corporate benefits in the areas that are important to every employee: meals, mobility and home office. The product reflects the current changes in the working world: simplicity, automation and appreciation are not only reflected in the expectations for modern products but also for employee experiences.	<triplet> Circula <sub> €12 million <obj> RECEIVES  <triplet> ALSTIN Capital <sub> €12 million <obj> INVESTS  <triplet> Peak <sub> €12 million <obj> INVESTS  <triplet> Storm Ventures <sub> €12 million <obj> INVESTS  <triplet> Capnamic <sub> €12 million <obj> INVESTS  <triplet> Main Incubator <sub> €12 million <obj> INVESTS  <triplet> WENVEST Capital <sub> €12 million <obj> INVESTS 
256	Graz-based Easelink bolts ahead with €8.3 million for its automated EV charging solution	While e-mobility is a growing trend it stands to reason that we also need pioneering tech to operate the electric vehicles (EV) that we are seeing more and more of. A crucial part of this is, of course, charging. Easelink has just raised €8.3 million for its pioneering ​​automated electric vehicle charging solutions. This funding boost was led by SET ventures with the participation of EnBW New Ventures, Smartworks, and existing investor Hermann Hauser.	<triplet> Easelink <sub> €8.3 million <obj> RECEIVES  <triplet> SET ventures <sub> €8.3 million <obj> INVESTS  <triplet> EnBW New Ventures <sub> €8.3 million <obj> INVESTS  <triplet> Smartworks <sub> €8.3 million <obj> INVESTS  <triplet> Hermann Hauser <sub> €8.3 million <obj> INVESTS 
3815	Automated code review startup Codacy raises $1.1m to help developers ship better code faster	Codacy has found almost 10 billion issues in code in the past 12 months while been used by more than 8,000 developers around the world. Errors in code can be incredibly costly for companies – Cambridge University report estimated the typical “technical debt” per line of code to be $3.61. The Lisbon-based provider of code-testing and analysis tools for developers Codacy has raised $1.1 million in seed funding to help solving this problem. Codacy provides developers with tools that check code for errors and suggest improvements. The company has added support to its tool for Ruby and Java, meaning the tool is now capable of analysing Ruby, Java, Scala, JavaScript, Python, PHP, Coffeescript and CSS. “Some developers spend nearly half of their time reviewing code, which is time they could be spending developing new features,” said Codacy co-founder Jaime Jorge. He continued: “Millions of code issues are created every day and companies will spend large sums of money trying to fix this “technical debt”. Companies are looking for ways to build better software faster and optimize their development processes. Code reviews should be taken into consideration. Our vision is to kill unnecessary code reviews.”	<triplet> Codacy <sub> $1.1 million <obj> RECEIVES 
548	Stockholm-based Lunch.Co raises €500k to establish its peer-to-peer lunch app across Nordic offices	Today Lunch.Co, a food marketplace platform, has announced landing €500k pre-seed funding. The round was led by VEQ, a Swedish venture capital investment company, with Antler and Rockstart as co-investors. The startup plans to use the funding to provide new and exciting ‘Food at Work’ experiences in leading companies in the Nordic region, as they return to offices for hybrid working following the relaxation of pandemic regulations in late September 2021. Founded in 2019, Lunch.Co is a marketplace platform that works through an app. It allows colleagues to share their home-cooked meals with each other in the workplace while creating deeper connections and engagement. Core to Lunch.Co’s business is building positive social impact and sustainability by allowing users to do good effortlessly by using the Lunch.Co platform. With this new investment and their partnership with Sodexo – a global leader in contract catering – Lunch.Co is targeting the huge workplace lunch market. Together they are planning to jointly enter offices in Sweden and roll out their significant pipeline in 2022, as employees return to the office. Lunch.Co will also build on its partnership with Coop, Sweden’s leading grocery retailer for sustainability, by boosting its social impact and food waste reduction.	<triplet> Lunch.Co <sub> 500k <obj> RECEIVES  <triplet> VEQ <sub> 500k <obj> INVESTS  <triplet> Antler <sub> 500k <obj> INVESTS  <triplet> Rockstart <sub> 500k <obj> INVESTS 
265	Barcelona-based Payflow nabs €8 million for its solution that’s improving employee financial wellbeing	Founded in 2020, Spanish fintech startup Payflow, has just got an €8 million funding boost to support its ambitions of evolving into a neobank that is putting the financial needs of employees first. The funding was co-led by Entrepreneurs Fund, with participation from Force Over Mass Capital, Y Combinator and Rebel Fund.Additional investors include Spain’s Seaya Ventures and Cathay Innovation. The fintech group offers an app that allows employees to instantly access earned wages.Their reasoning is that employees work daily and spend daily – so it would make sense that they can access wages more regularly than just once a month.	<triplet> Payflow <sub> €8 million <obj> RECEIVES  <triplet> Entrepreneurs Fund <sub> €8 million <obj> INVESTS  <triplet> Force Over Mass Capital <sub> €8 million <obj> INVESTS  <triplet> Y Combinator <sub> €8 million <obj> INVESTS  <triplet> Rebel Fund <sub> €8 million <obj> INVESTS  <triplet> Seaya Ventures <sub> €8 million <obj> INVESTS  <triplet> Cathay Innovation <sub> €8 million <obj> INVESTS 
242	UK-based EVERYTHING scores €2 million to reinvent Premium Bonds with a social twist	Founded in 2021, EVERYTHING is a UK fintech startup that is on a mission to build the next social finance experience for Gen Z and young millennials. The company has just raised €2 million in the process from a group of high profile angel investors and entrepreneurs, including Sujay Tyle (Merama co-founder & CEO), Frontier Car Group founders (Peter Lindholm, Ricardo Donoso), Albin Johansson (Axel Arigato co-founder), and angel collective Framtid. Premium Bonds is one of the most popular savings methods in the UK, but, as argued by EVERYTHING founders Adam Lewestam, Thorir Gudlaugsson and Michael Wilkinson, is failing to meet the needs of new generations. EVERYTHING is offering a reimagination of Premium Bonds that has a social twist. EVERYTHING is free to join and use and users can win instant cash rewards every time they tap, spend or save money via the EVERYTHING debit Mastercard. To increase the chance of winning, people can also invite their friends and family to their own “SQUADS” and have a chance to win every time they spend or save too.	<triplet> EVERYTHING <sub> €2 million <obj> RECEIVES  <triplet> Sujay Tyle <sub> €2 million <obj> INVESTS  <triplet> Peter Lindholm <sub> €2 million <obj> INVESTS  <triplet> Ricardo Donoso <sub> €2 million <obj> INVESTS  <triplet> Albin Johansson <sub> €2 million <obj> INVESTS  <triplet> Framtid <sub> €2 million <obj> INVESTS 
3580	Sport sponsorship marketplace Sponsoo secures €300K to further accelerate growth	The Hamburg-based sport marketing startup Sponsoo has raised €300,000 from four business angels and previous shareholders. The young company was founded in 2014 with the goal to fully digitalize the sport sponsorship industry by connecting athletes, clubs and sponsors on a full-service online marketplace. Sponsoo CEO Andreas Kitzing explains: “We take a grassroots approach to disrupt the sponsorship industry. We started with helping out small amateur teams and hobby athletes and worked our way up to first division clubs, Olympic Gold Medal winners and large associations. Our goal is to give all of them equal access to the professional sport sponsorship market. This creates an exceptionally large and diversified portfolio that gives advertisers the possibility to run marketing campaigns in any area of sports.” Until now, Sponsoo was financed by EU grants, recurring revenues and prizes from startup competitions such as Microsoft’s “Do Great Things” campaign. The newly raised financing alows the founding team to take Sponsoo to the next level. The fresh capital is designated for hiring further sales employees and developers in Sponsoo’s headquarter in Hamburg and to ramp up marketing.	<triplet> Sponsoo <sub> €300,000 <obj> RECEIVES  <triplet> business angels <sub> €300,000 <obj> INVESTS  <triplet> previous shareholders <sub> €300,000 <obj> INVESTS 
2114	Stockholm-based startup FirstVet raises €18.5 million to provide pet-owners with video consultations	Stockholm-basedFirstVet, a startup that provides pet-owners with on-demand video consultations with local, qualified veterinarians, has closed an €18.5 million Series B funding round led by London-based OMERS Ventures, which earlier this year launched a €300 million fund aimed at European technology startups. Early-stage venture capital firm Creandum (early backers of Spotify), which previously led FirstVet’s Series A, participated. The funding will enable FirstVet to expand its service globally, with the company looking to launch in other markets, such as the US, Germany, and France. In addition, FirstVet will continue to develop its product and introduce new features to improve the experience for pet owners and vets alike, such as new automation tools and integration with clinics’ existing systems.	<triplet> FirstVet <sub> €18.5 million <obj> RECEIVES  <triplet> FirstVet <sub> €18.5 million <obj> RECEIVES  <triplet> OMERS Ventures <sub> €18.5 million <obj> INVESTS  <triplet> Creandum <sub> €18.5 million <obj> INVESTS  <triplet> FirstVet <sub> €18.5 million <obj> RECEIVES 
3234	Consumer electronics rental platform Grover receives €10 million in debt financing	Grover, a Berlin-based startup rethinking financing for the consumer electronics market with a subscription model, just signed a €10 million asset-backed debt financing deal with Varengold Bank to fund its rapidly expanding business. The new deal is an extension of the original €4 million transaction signed in January of this year. Founded in 2015, Grover enables people to subscribe to tech products monthly instead of buying them. Over the last 12 months, Grover‘s monthly orders increased by 36 times and total subscription value increased eight-fold, making it one of the fastest growing startups in Germany. Since January 2017 consumers are able to rent technology gadgets with Grover via the online shop of Europe’s largest Consumer Electronics retailer MediaMarkt. Recently Grover announced that it has expanded its distribution partnership with MediaMarkt Saturn Group to include MediaMarkt‘s offline stores in Berlin.	<triplet> Grover <sub> €10 million <obj> RECEIVES  <triplet> Varengold Bank <sub> €10 million <obj> INVESTS 
